Date,Baccala_Mantecato,Baccala_Vicentina
2021-01-01,36.4,6.1
2021-02-01,36.4,5.4
2021-03-01,31.2,6.1
2021-04-01,30.4,5.6
2021-05-01,46.1,6.7
2021-06-01,35.8,6.0
2021-07-01,34.6,6.9
2021-08-01,25.3,5.7
2021-09-01,42.2,8.2
2021-10-01,18.2,4.9
2021-11-01,37.9,5.2
2021-12-01,50.0,9.5
2022-01-01,33.7,6.7
2022-02-01,40.0,4.8
2022-03-01,31.1,5.5
2022-04-01,26.2,5.1
2022-05-01,35.2,6.7
2022-06-01,22.1,5.9
2022-07-01,25.8,7.1
2022-08-01,19.3,5.4
2022-09-01,28.1,8.6
2022-10-01,17.8,4.5
2022-11-01,33.3,5.8
2022-12-01,47.4,9.1
2023-01-01,23.3,6.0
2023-02-01,28.5,5.4
2023-03-01,26.9,6.1
2023-04-01,30.4,7.0
2023-05-01,31.3,6.8
2023-06-01,18.8,5.0
2023-07-01,22.4,6.7
2023-08-01,22.4,4.9
2023-09-01,34.3,6.9
2023-10-01,16.3,5.2
2023-11-01,39.5,6.7
2023-12-01,53.1,9.6
2024-01-01,40.7,6.9
2024-02-01,34.0,5.1
2024-03-01,23.2,6.4
2024-04-01,22.3,5.8
2024-05-01,30.0,6.6
2024-06-01,22.0,6.3
2024-07-01,26.6,6.9
2024-08-01,26.8,6.4
2024-09-01,55.6,9.8,-0.19048923306682364
2024-10-01,38.5,7.5,-0.23200724373654755
2024-11-01,48.2,6.3,1.4819324474290465
2024-12-01,45.1,7.8,0.12087697502155047
